gene, start, stop, type
MKI67, 372, 515, ouORF
ZNFX1, 75, 533, ouORF
IFIT2, 26, 127, ouORF
IGFBP5, 737, 945, ouORF
HSPA5, 157, 429, ouORF
DDIT4, 122, 205, ouORF
RPLP0, 23, 124, ouORF
LDHA, 35, 130, ouORF
EGLN3, 279, 344, ouORF
MMP2, 188, 295, ouORF
ATF3, 96, 269, ouORF
CDK1, 85, 177, ouORF
SNAI2, 19, 246, ouORF
TBP, 189, 329, ouORF
PELO, 922, 1080, ouORF 
HK2, 259, 505, ouORF
HK2, 432, 459, ouORF
HK2, 248, 314, uORF
PELO, 57, 113, uORF
PELO, 68, 79, uORF
CDK1, 66, 116, uORF
IFIT1, 67, 78, uORF
RRM1, 61, 105, uORF
ATF4, 1352, 1483, iORF
ATF3, 145, 720, NTE
HK2, 320, 3209, NTE
